event_id,event_date,event_ts,lat,lon,aoi_code,aoi_match,district,state,country_name,admin_division_name,landslide_category,landslide_trigger,is_rain_triggered,landslide_size,fatality_count,injury_count,event_title,location_description,location_accuracy,source_name,source_link
1596,03/27/2010 08:00:00 PM,2010-03-27 20:00:00+00:00,24.7339,93.9161,MN-IMP,inside,Imphal West,Manipur,India,Manipur,mudslide,downpour,True,medium,0.0,,"LangthAbal Khoupum, Imphal, Manipur","LangthAbal Khoupum, Imphal, Manipur",5km,news.oneindia,http://news.oneindia.in/2010/03/29/rainsstorm-cause-havoc-inmanipur.html
1756,04/17/2010 12:00:00 AM,2010-04-17 00:00:00+00:00,27.322,88.6087,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,small,0.0,,"Nam Nang, Gangtok","Nam Nang, Gangtok",1km,voiceofsikkim.com,http://voiceofsikkim.com/2010/04/18/rains-trigger-major-landslide-at-pani-house/
1755,04/17/2010 03:00:00 PM,2010-04-17 15:00:00+00:00,27.3341,88.6083,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,small,0.0,,"Natl. Highway 31-A at Pani House(?), Gangtok","Natl. Highway 31-A at Pani House(?), Gangtok",5km,voiceofsikkim.com,http://voiceofsikkim.com/2010/04/18/rains-trigger-major-landslide-at-pani-house/
1929,05/31/2010 11:00:00 PM,2010-05-31 23:00:00+00:00,27.3543,88.6428,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,0.0,,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district","North Sikkiim Highway, periphery of Gangtok, Sikkim East district",5km,sify.com,http://sify.com/news/500-tourists-stranded-in-Sikkim-due-to-landslides-news-National-kgca4ibdgfd.html
2025,06/28/2010 12:00:00 AM,2010-06-28 00:00:00+00:00,25.5728,91.885,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,downpour,True,medium,1.0,,"Police CID complex(?), Shillong, Meghalaya","Police CID complex(?), Shillong, Meghalaya",5km,hindustantimes,http://www.hindustantimes.com/Girl-dies-in-landslide-flash-flood-wrecks-havoc-in-Meghalaya/Article1-564450.aspx
2026,06/28/2010 12:00:00 AM,2010-06-28 00:00:00+00:00,25.4916,91.2698,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,downpour,True,medium,0.0,,"Borsorsa(?), West Khasi Hills, Meghalaya","Borsorsa(?), West Khasi Hills, Meghalaya",50km,neinews,http://www.neinews.com/girl-dies-5-injured-in-city-l2-missing-trucks-trapped-in-borsora.html
2112,07/21/2010 08:00:00 AM,2010-07-21 08:00:00+00:00,27.5509,88.6475,SK-GNG,inside,Gangtok,Sikkim,India,nan,landslide,downpour,True,medium,0.0,,"Zang(?), east Sikkim","Zang(?), east Sikkim",unknown,himalnews.wordpress,http://himalnews.wordpress.com/2010/07/22/natural-disasters-landslides-destroy-houses/
2113,07/21/2010 08:00:00 AM,2010-07-21 08:00:00+00:00,27.3773,88.559,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,0.0,,"Singtam-Mangan rd, Sikkim","Singtam-Mangan rd, Sikkim",25km,kuenselonline,http://www.kuenselonline.com/modules.php?name=News&file=article&sid=16186
2182,07/31/2010 09:00:00 AM,2010-07-31 09:00:00+00:00,24.9356,93.8443,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,rain,True,medium,0.0,,Dimapur-Imphal highway (NH 39) near Manipur,Dimapur-Imphal highway (NH 39) near Manipur,25km,youtube,http://www.youtube.com/watch?v=jHTtW2WaJGw
2205,08/06/2010 12:00:00 AM,2010-08-06 00:00:00+00:00,23.7365,92.7146,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,0.0,,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","Dawrpui Vengthar cemetary, Aizwal, Mizoram",1km,gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL"
2341,08/26/2010 11:00:00 PM,2010-08-26 23:00:00+00:00,27.2319,88.497,SK-GNG,inside,Gangtok,Sikkim,India,nan,landslide,downpour,True,medium,0.0,,"NH-31A at Topakhani tunnel(?) and fruit preservation factory(?) and Chisopani bridge(?), near Singtam and Gangtok and Rangpo, Sikkim","NH-31A at Topakhani tunnel(?) and fruit preservation factory(?) and Chisopani bridge(?), near Singtam and Gangtok and Rangpo, Sikkim",10km,thehimalayanbeacon.com,http://thehimalayanbeacon.com/magazine/2010/08/28/sikkim-landslides-cut-sikkim-link-woman-disappears-swirling-flash-flood/
2345,08/27/2010 06:00:00 PM,2010-08-27 18:00:00+00:00,27.3392,88.6188,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,0.0,,"Daragaon(?), Gangtok city, Sikkim","Daragaon(?), Gangtok city, Sikkim",5km,thehindu,http://www.thehindu.com/news/states/other-states/article600333.ece
2392,09/04/2010 12:00:00 AM,2010-09-04 00:00:00+00:00,27.3702,88.7334,SK-GNG,near(22.7km),Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,0.0,,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim","17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",10km,news.oneindia,http://news.oneindia.in/2010/09/04/strategicroad-link-cut-off-due-to-landslide-insikkim.html
2422,09/13/2010 12:00:00 AM,2010-09-13 00:00:00+00:00,23.74182634,92.7141905,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,,,"Hunthar Veng, Mizoram","Hunthar Veng, Mizoram",1km,Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/
2420,09/13/2010 12:00:00 AM,2010-09-13 00:00:00+00:00,23.72988966,92.71495623,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,1.0,,"Tuikual 'C', Aizawl, Mizoram","Tuikual 'C', Aizawl, Mizoram",1km,Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/
2424,09/13/2010 12:00:00 AM,2010-09-13 00:00:00+00:00,23.591,92.9296,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,0.0,,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram","near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",25km,Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/
2421,09/13/2010 09:00:00 AM,2010-09-13 09:00:00+00:00,23.75406693,92.74128531,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,,,"road to Muanna Godown, Zuangtui, Mizoram","road to Muanna Godown, Zuangtui, Mizoram",1km,Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/
2437,09/16/2010 12:00:00 AM,2010-09-16 00:00:00+00:00,23.7527,92.694,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,0.0,,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur","Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",5km,mizoramexpress.com,http://mizoramexpress.com/index.php/2010/09/landslide-hits-aizawl-1-house-destroyed/
2570,10/08/2010 12:00:00 AM,2010-10-08 00:00:00+00:00,24.837,93.9128,MN-IMP,inside,Imphal West,Manipur,India,Manipur,landslide,downpour,True,medium,0.0,,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur","Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",5km,e-pao.net,http://e-pao.net/GP.asp?src=6..111010.oct10
3556,05/31/2011 02:00:00 PM,2011-05-31 14:00:00+00:00,25.1555,93.8474,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,continuous_rain,True,small,0.0,,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur","Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",25km,e-pao.net,http://e-pao.net/GP.asp?src=7..020611.jun11
3619,06/17/2011 07:30:00 PM,2011-06-17 19:30:00+00:00,27.4885,88.4451,SK-GNG,inside,Gangtok,Sikkim,India,nan,mudslide,rain,True,medium,0.0,,"National HWY 31A, Birik (cut off Sikkim)","National HWY 31A, Birik (cut off Sikkim)",unknown,Telegraph India,http://www.telegraphindia.com/1110618/jsp/northeast/story_14127559.jsp
3662,06/28/2011 12:00:00 AM,2011-06-28 00:00:00+00:00,25.03561729,94.0144205,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,rain,True,medium,,,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India","Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",25km,E-PAO,http://e-pao.net/GP.asp?src=7..290611.jun11
3738,07/06/2011 12:00:00 AM,2011-07-06 00:00:00+00:00,24.8063,93.9482,MN-IMP,inside,Imphal West,Manipur,India,Manipur,landslide,downpour,True,medium,6.0,,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)","National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",50km,e-pao.net,http://e-pao.net/GP.asp?src=16..070711.jul11
3831,07/22/2011 12:00:00 AM,2011-07-22 00:00:00+00:00,24.7992,93.948,MN-IMP,inside,Imphal West,Manipur,India,Manipur,landslide,downpour,True,medium,0.0,,Heibok Hills,Heibok Hills,unknown,e-pao.net,http://e-pao.net/GP.asp?src=4..230711.jul11
3840,07/25/2011 12:00:00 AM,2011-07-25 00:00:00+00:00,24.6869,93.9157,MN-IMP,inside,Imphal West,Manipur,India,Manipur,landslide,downpour,True,medium,0.0,,Manipur,Manipur,50km,assamtribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul3011/oth05
3997,09/30/2011 12:00:00 AM,2011-09-30 00:00:00+00:00,27.5161,88.5575,SK-GNG,inside,Gangtok,Sikkim,India,nan,landslide,unknown,False,medium,0.0,,Mangan : The slide which occurred at Thingchim around 18 kilometers from Mangan towards Gangtok has disrupted the Mangan-Gangtok traffic again. The s*,,10km,isikkim.com,http://isikkim.com/2011-09-landslide-disrupts-gangtok-mangan-highway-again-30-3/
4241,03/04/2012 12:00:00 AM,2012-03-04 00:00:00+00:00,25.1604,93.6795,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,unknown,False,medium,0.0,,Tamei constituency in Tamenlong district,Tamei constituency in Tamenlong district,25km,articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-03-04/guwahati/31120923_1_booths-repoll-polling-stations
4411,06/14/2012 04:00:00 AM,2012-06-14 04:00:00+00:00,27.339,88.6065,SK-GNG,inside,Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,,,"Tathangchen, Gangtok, Sikkim ","Tathangchen, Gangtok, Sikkim ",5km,isikkim.com,http://isikkim.com/2012-06-sikkim-landslide-at-tathangchen-poses-threat-to-residents-15-5/
4610,11/11/2012 12:00:00 AM,2012-11-11 00:00:00+00:00,23.7705,92.5217,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,4.0,,"Dapchhuah, Mamit, Mizoram","Dapchhuah, Mamit, Mizoram",5km,assamtribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=oct1312/oth06
4857,05/11/2013 09:00:00 AM,2013-05-11 09:00:00+00:00,23.7281,92.7175,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,rain,True,large,15.0,,"Laipuitland , Aizawl, Mizoram","Laipuitland , Aizawl, Mizoram",25km,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-05-12/guwahati/39203177_1_young-mizo-association-aizawl-rescue-work
4908,06/08/2013 05:00:00 PM,2013-06-08 17:00:00+00:00,27.3721,88.708,SK-GNG,near(20.2km),Gangtok,Sikkim,India,Sikkim,landslide,downpour,True,medium,0.0,,"15 Km From Gangtok, Himalayans","15 Km From Gangtok, Himalayans",25km,www.business-standard.com,http://www.business-standard.com/article/news-ani/tourists-stranded-due-to-landslide-in-gangtok-113060900319_1.html
5476,09/07/2013 03:00:00 PM,2013-09-07 15:00:00+00:00,27.3736,88.7323,SK-GNG,near(22.5km),Gangtok,Sikkim,India,Sikkim,landslide,rain,True,medium,0.0,,14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),14 Milestone Of J N Marg Near Kyangnosola (East Sikkim),25km,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-09-10/india/41936154_1_east-and-north-sikkim-chungthang-gangtok
5485,09/08/2013 12:00:00 AM,2013-09-08 00:00:00+00:00,27.6047,88.6463,SK-GNG,near(24.4km),Gangtok,Sikkim,India,nan,rock_fall,rain,True,medium,1.0,2.0,"Chungthang, Sikkim","Chungthang, Sikkim",50km,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-09-10/india/41936154_1_east-and-north-sikkim-chungthang-gangtok
6143,07/14/2014 06:00:00 PM,2014-07-14 18:00:00+00:00,23.7327,92.7463,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,1.0,2.0,"Zembabawk, Aizawl","Zembabawk, Aizawl",5km,Business Standard,http://www.business-standard.com/article/pti-stories/rescue-operations-for-woman-swept-away-by-landslide-continue-114071500831_1.html
6290,09/23/2014 03:00:00 AM,2014-09-23 03:00:00+00:00,25.5772,91.8666,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,continuous_rain,True,small,8.0,1.0,Mawbah under Mawprem area,Mawbah under Mawprem area,5km,Zee News,http://zeenews.india.com/news/north-east/eight-die-of-landslide-in-east-khasi-hills_1474744.html
6792,02/22/2015 08:30:00 PM,2015-02-22 20:30:00+00:00,25.1472,91.7483,ML-EKH,inside,East Khasi Hills,Meghalaya,Bangladesh,Sylhet,mudslide,mining,False,medium,4.0,0.0,Bholaganj stone quarry in Companyganj upazila,Bholaganj stone quarry in Companyganj upazila,5km,Dhaka Tribune,http://www.dhakatribune.com/bangladesh/2015/feb/23/4-died-sylhet-landslide
6945,06/19/2015 12:00:00 AM,2015-06-19 00:00:00+00:00,25.16,93.686,MN-NON,inside,Noney,Manipur,India,Manipur,landslide,monsoon,True,medium,0.0,0.0,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District","amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",1km,E-Pao,http://e-pao.net/GP.asp?src=34..200615.jun15
6963,06/19/2015 12:00:00 AM,2015-06-19 00:00:00+00:00,23.7131,92.7362,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,rain,True,medium,0.0,0.0,"Muanna locality, Mizoram","Muanna locality, Mizoram",50km,The Statesmen,http://www.thestatesman.com/news/northeast/27-graves-damaged-in-mizoram-landslide/70263.html
7838,08/27/2015 12:00:00 AM,2015-08-27 00:00:00+00:00,23.6866,93.017,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,downpour,True,medium,0.0,0.0,the state highway which links the rest of the state to eastern Champhai district,the state highway which links the rest of the state to eastern Champhai district,50km,Indian Express,http://indianexpress.com/article/india/india-others/mizoram-aizawl-houses-swept-away-graves-damaged-by-rain-and-landslide/
7837,08/27/2015 12:00:00 AM,2015-08-27 00:00:00+00:00,23.7269,92.7265,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,0.0,0.0,three graveyards within Aizawl,three graveyards within Aizawl,5km,Indian Express,http://indianexpress.com/article/india/india-others/mizoram-aizawl-houses-swept-away-graves-damaged-by-rain-and-landslide/
7972,08/28/2015 01:45:00 AM,2015-08-28 01:45:00+00:00,23.4495,92.8112,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,large,0.0,0.0,"Mizoram, India","Mizoram, India",25km,The Indian Express,http://indianexpress.com/article/india/india-others/mizorams-power-lifeline-on-shaky-ground-after-landslip/
8224,09/14/2015 01:30:00 AM,2015-09-14 01:30:00+00:00,23.7313,92.7187,MZ-AIZ,inside,Aizawl,Mizoram,India,Mizoram,landslide,downpour,True,medium,0.0,0.0,"Aizawl, Mizoram, India","Aizawl, Mizoram, India",5km,The Northeast Today,http://thenortheasttoday.com/landslides-damage-houses-graves-in-aizawl/
8366,09/23/2015 03:00:00 PM,2015-09-23 15:00:00+00:00,25.583,91.893,ML-EKH,inside,East Khasi Hills,Meghalaya,India,Meghalaya,landslide,downpour,True,medium,2.0,1.0,"Shillong, Meghalaya, India","Shillong, Meghalaya, India",5km,The Northeast Today,http://www.northeasttoday.in/two-women-buried-alive-in-shillong-landslide/
9853,08/16/2016 07:22:00 PM,2016-08-16 19:22:00+00:00,27.593,88.492,SK-GNG,inside,Gangtok,Sikkim,,nan,landslide,rain,True,large,0.0,0.0,Landslide in Dzongu,"Dzongu, Sikkim, India",exact,AGU Blog,http://blogs.agu.org/landslideblog/2016/08/13/dzongu-1/
10960,09/17/2016 02:54:00 PM,2016-09-17 14:54:00+00:00,23.725943,92.7178,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,,False,,5.0,0.0,Landslide in Mizoram,"Mizoram, India",5km,Indian Express,http://indianexpress.com/article/india/india-news-india/massive-landslide-in-mizoram-kills-five/
10981,01/23/2017 02:49:00 PM,2017-01-23 14:49:00+00:00,25.08734272,91.75063827,ML-EKH,inside,East Khasi Hills,Meghalaya,,nan,landslide,mining,False,small,5.0,0.0,Companiganj Landslide in Stone Quarry,"Companiganj, Sylhet Division, Bangladesh",1km,NewAge,http://www.newagebd.net/article/7829/death-toll-from-sylhet-landslide-rises-to-five
10989,02/15/2017 10:56:00 PM,2017-02-15 22:56:00+00:00,25.51826286,91.9630294,ML-EKH,inside,East Khasi Hills,Meghalaya,,nan,landslide,mining,False,small,2.0,0.0,Stone Quarry Landslide in Lamlyer,"Mawryngkneng, East Khasi Hills, Meghalaya",1km,The Shillong Times,http://www.theshillongtimes.com/2017/02/16/2-die-in-quarry-landslide/
10982,03/06/2017 08:35:00 PM,2017-03-06 20:35:00+00:00,25.092576,91.763689,ML-EKH,inside,East Khasi Hills,Meghalaya,,nan,landslide,mining,False,small,1.0,0.0,Quarry Worker Killed in Companigonj Landslide,"Uthma Chara quarry, Companigonj Upazila, Bangladesh",10km,The Daily Tribunal,http://thedailytribunal.net/landslide-claims-quarry-laborer-in-companigonj/
11150,03/30/2017 08:28:00 PM,2017-03-30 20:28:00+00:00,24.79591421,93.72386429,MN-IMP,near(17.8km),Imphal West,Manipur,,nan,landslide,downpour,True,small,0.0,0.0,NH-37 Landslide in the Tamenglong District,"NH-37, between T. Laijang and K. Sinam villages, Tamenglong district, Manipur, 795008",10km,Nagaland Post,http://www.nagalandpost.com/ChannelNews/Regional/RegionalNews.aspx?news=TkVXUzEwMDExMjEyMg%3D%3D
9785,05/26/2017 01:34:00 PM,2017-05-26 13:34:00+00:00,27.54295099,88.59676956,SK-GNG,inside,Gangtok,Sikkim,,nan,landslide,rain,True,medium,0.0,0.0,Rockslide in North Sikkim,"Toong-Sankalang road between Saffo and Ship-Gyer, North Sikkim",5km,Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=may2717/oth053
9770,06/01/2017 01:34:00 PM,2017-06-01 13:34:00+00:00,23.73941422,92.71505961,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,tropical_cyclone,False,medium,0.0,0.0,"Landslide in Mizoram, off of Aizawl","Hunthar Area, NH 54, off of Aizawl",5km,Morung Express,http://morungexpress.com/landslides-mizoram-aizawl-cut-off/
9712,06/10/2017 01:27:00 PM,2017-06-10 13:27:00+00:00,23.73354779,92.74744512,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,rain,True,small,2.0,,"Landslide in Aizawl, kills 2",,1km,Zoram Observer,https://www.zoramobserver.com/mizoram/2-killed-in-landslide-triggered-by-heavy-rains/
10962,06/17/2017 01:16:00 PM,2017-06-17 13:16:00+00:00,23.65637182,93.02746602,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,continuous_rain,True,small,0.0,0.0,Landslide damages Aizawl-Champhai Road,"Aizawl-Champhai road, Champhai, Mizoram State, India",5km,Zoram Observer,https://www.zoramobserver.com/mizoram/landslides-cut-off-various-parts-of-mizoram-as-rain-continues/
10985,06/17/2017 06:45:00 PM,2017-06-17 18:45:00+00:00,25.43807422,91.79904872,ML-EKH,inside,East Khasi Hills,Meghalaya,,nan,landslide,continuous_rain,True,medium,1.0,2.0,Fatal landslide in Mawjrong,"Khatarshnong Laitkroh, East Khasi Hills, Meghalaya",1km,The Arunachal Times,http://www.arunachaltimes.in/six-killed-in-meghalaya-landslides/
9989,06/28/2017 04:00:00 PM,2017-06-28 16:00:00+00:00,23.69461107,92.87641207,MZ-AIZ,inside,Aizawl,Mizoram,,nan,landslide,other,False,large,0.0,0.0,Landslide damages road,"Aizawl, Mizoram State, India",10km,Zoram Observer,https://www.zoramobserver.com/mizoram/aizawl-champhai-road-cut-off-by-strange-landslide/
9931,06/30/2017 03:17:00 PM,2017-06-30 15:17:00+00:00,25.06657276,93.9310888,MN-NON,inside,Noney,Manipur,,nan,landslide,downpour,True,small,0.0,0.0,NH-2 blocked by landslide along Imphal-Dimapur section,Torrential downpour causes road-blocking lansdlide along NH-2 near Bimparao village,1km,E-Pao,http://e-pao.net/GP.asp?src=2..020717.jul17
